product_id,width_min,width_max,length_min,length_max,retail_price,housing_code
514,48.0,59.88,180.0,191.88,4509.0,H75EX
514,60.0,71.88,180.0,191.88,4729.0,H75EX
514,72.0,83.88,180.0,191.88,4950.0,H75EX
514,84.0,95.88,180.0,191.88,5171.0,H75EX
514,96.0,107.88,180.0,191.88,5391.0,H75EX
514,108.0,119.88,180.0,191.88,5612.0,H75EX
514,120.0,131.88,180.0,191.88,5832.0,H75EX
514,132.0,143.88,180.0,191.88,6053.0,H75EX
514,144.0,155.88,180.0,191.88,6224.0,H75EX
514,156.0,167.88,180.0,191.88,6444.0,H75EX
514,168.0,179.88,180.0,191.88,6665.0,H85EX
514,180.0,191.88,180.0,191.88,6886.0,H85EX
514,192.0,203.88,180.0,191.88,7106.0,H85EX
514,204.0,215.88,180.0,191.88,7327.0,H85EX
514,216.0,227.88,180.0,191.88,7547.0,H85EX
514,228.0,239.88,180.0,191.88,7768.0,H85EX
514,240.0,251.88,180.0,191.88,7989.0,H85EX
514,252.0,263.88,180.0,191.88,8209.0,H85EX
514,264.0,275.88,180.0,191.88,8430.0,H85EX
514,276.0,287.88,180.0,191.88,8651.0,H85EX
514,288.0,299.88,180.0,191.88,8871.0,H85EX
514,300.0,311.88,180.0,191.88,9092.0,H85EX
514,312.0,323.88,180.0,191.88,9511.0,H85EX
514,324.0,335.88,180.0,191.88,9725.0,H85EX
514,336.0,347.88,180.0,191.88,9939.0,H85EX
514,348.0,359.88,180.0,191.88,10153.0,H85EX
514,360.0,371.88,180.0,191.88,10366.0,H85EX
514,48.0,59.88,192.0,203.88,4627.0,H85EX
514,60.0,71.88,192.0,203.88,4853.0,H85EX
514,72.0,83.88,192.0,203.88,5078.0,H85EX
514,84.0,95.88,192.0,203.88,5304.0,H85EX
514,96.0,107.88,192.0,203.88,5529.0,H85EX
514,108.0,119.88,192.0,203.88,5755.0,H85EX
514,120.0,131.88,192.0,203.88,5980.0,H85EX
514,132.0,143.88,192.0,203.88,6206.0,H85EX
514,144.0,155.88,192.0,203.88,6378.0,H85EX
514,156.0,167.88,192.0,203.88,6603.0,H85EX
514,168.0,179.88,192.0,203.88,6829.0,H85EX
514,180.0,191.88,192.0,203.88,7054.0,H85EX
514,192.0,203.88,192.0,203.88,7280.0,H85EX
514,204.0,215.88,192.0,203.88,7505.0,H85EX
514,216.0,227.88,192.0,203.88,7731.0,H85EX
514,228.0,239.88,192.0,203.88,7956.0,H85EX
514,240.0,251.88,192.0,203.88,8181.0,H85EX
514,252.0,263.88,192.0,203.88,8407.0,H85EX
514,264.0,275.88,192.0,203.88,8632.0,H85EX
514,276.0,287.88,192.0,203.88,8858.0,H85EX
514,288.0,299.88,192.0,203.88,9083.0,H85EX
514,300.0,311.88,192.0,203.88,9309.0,H85EX
514,312.0,323.88,192.0,203.88,9733.0,H85EX
514,324.0,335.88,192.0,203.88,9951.0,H85EX
514,336.0,347.88,192.0,203.88,10170.0,H85EX
514,348.0,359.88,192.0,203.88,10389.0,H85EX
514,360.0,371.88,192.0,203.88,10607.0,H85EX
514,48.0,59.88,204.0,215.88,5055.0,H85EX
514,60.0,71.88,204.0,215.88,5278.0,H85EX
514,72.0,83.88,204.0,215.88,5501.0,H85EX
514,84.0,95.88,204.0,215.88,5725.0,H85EX
514,96.0,107.88,204.0,215.88,5948.0,H85EX
514,108.0,119.88,204.0,215.88,6172.0,H85EX
514,120.0,131.88,204.0,215.88,6395.0,H85EX
514,132.0,143.88,204.0,215.88,6619.0,H85EX
514,144.0,155.88,204.0,215.88,6786.0,H85EX
514,156.0,167.88,204.0,215.88,7009.0,H85EX
514,168.0,179.88,204.0,215.88,7233.0,H85EX
514,180.0,191.88,204.0,215.88,7456.0,H85EX
514,192.0,203.88,204.0,215.88,7680.0,H85EX
514,204.0,215.88,204.0,215.88,7903.0,H85EX
514,216.0,227.88,204.0,215.88,8127.0,H85EX
514,228.0,239.88,204.0,215.88,8350.0,H85EX
514,240.0,251.88,204.0,215.88,8573.0,H85EX
514,252.0,263.88,204.0,215.88,8797.0,H85EX
514,264.0,275.88,204.0,215.88,9020.0,H85EX
514,276.0,287.88,204.0,215.88,9244.0,H85EX
514,288.0,299.88,204.0,215.88,9467.0,H85EX
514,300.0,311.88,204.0,215.88,9691.0,H85EX
514,312.0,323.88,204.0,215.88,9914.0,H85EX
514,324.0,335.88,204.0,215.88,10138.0,H85EX
514,336.0,347.88,204.0,215.88,10361.0,H85EX
514,348.0,359.88,204.0,215.88,10585.0,H85EX
514,360.0,371.88,204.0,215.88,10808.0,H85EX
514,48.0,59.88,216.0,227.88,5173.0,H85EX
514,60.0,71.88,216.0,227.88,5402.0,H85EX
514,72.0,83.88,216.0,227.88,5630.0,H85EX
514,84.0,95.88,216.0,227.88,5858.0,H85EX
514,96.0,107.88,216.0,227.88,6086.0,H85EX
514,108.0,119.88,216.0,227.88,6315.0,H85EX
514,120.0,131.88,216.0,227.88,6543.0,H85EX
514,132.0,143.88,216.0,227.88,6771.0,H85EX
514,144.0,155.88,216.0,227.88,6940.0,H85EX
514,156.0,167.88,216.0,227.88,7168.0,H85EX
514,168.0,179.88,216.0,227.88,7397.0,H85EX
514,180.0,191.88,216.0,227.88,7625.0,H85EX
514,192.0,203.88,216.0,227.88,7853.0,H85EX
514,204.0,215.88,216.0,227.88,8081.0,H85EX
514,216.0,227.88,216.0,227.88,8310.0,H85EX
514,228.0,239.88,216.0,227.88,8538.0,H85EX
514,240.0,251.88,216.0,227.88,8766.0,H85EX
514,252.0,263.88,216.0,227.88,8994.0,H85EX
514,264.0,275.88,216.0,227.88,9223.0,H85EX
